0ad: 48 total files, 0 missing files
dkms: 24 total files, 0 missing files
dmenu: 14 total files, 0 missing files
dmidecode: 18 total files, 0 missing files
dmraid: 38 total files, 0 missing files
dnssec-anchors: 7 total files, 0 missing files
docker: 221 total files, 0 missing files
dosbox: 15 total files, 0 missing files
dosfstools: 39 total files, 0 missing files
double-conversion: 28 total files, 0 missing files
downgrade: 51 total files, 0 missing files
downgrader-git: 3 total files, 0 missing files
doxygen: 11 total files, 0 missing files
droidcam: 17 total files, 0 missing files
dunst: 25 total files, 0 missing files
e2fsprogs: 202 total files, 0 missing files
ebook-tools: 16 total files, 0 missing files
electron: 90 total files, 0 missing files
electron11-bin: 85 total files, 0 missing files
electron12: 88 total files, 0 missing files
electron13: 88 total files, 0 missing files
electron14: 88 total files, 0 missing files
elfutils: 58 total files, 0 missing files
enca: 24 total files, 0 missing files
enchant: 28 total files, 0 missing files
enet: 22 total files, 0 missing files
etcher-bin: 179 total files, 0 missing files
exa: 21 total files, 0 missing files
exempi: 23 total files, 0 missing files
exfat-utils: 18 total files, 0 missing files
exiv2: 123 total files, 0 missing files
exo: 278 total files, 0 missing files
expat: 32 total files, 0 missing files
faac: 26 total files, 0 missing files
faad2: 27 total files, 0 missing files
fakeroot: 43 total files, 0 missing files
faudio: 25 total files, 0 missing files
fd: 20 total files, 0 missing files
feh: 40 total files, 0 missing files
ffmpeg: 267 total files, 0 missing files
ffmpeg4.4: 172 total files, 0 missing files
fftw: 97 total files, 0 missing files
figlet: 75 total files, 0 missing files
file: 25 total files, 0 missing files
file-roller: 781 total files, 0 missing files
filesystem: 116 total files, 0 missing files
findutils: 132 total files, 0 missing files
firefox: 100 total files, 0 missing files
fish: 1369 total files, 0 missing files
flac: 48 total files, 0 missing files
flake8: 110 total files, 0 missing files
flameshot: 64 total files, 0 missing files
flatpak: 245 total files, 0 missing files
flex: 99 total files, 0 missing files
fluidsynth: 47 total files, 0 missing files
fmt: 72 total files, 0 missing files
fontconfig: 345 total files, 0 missing files
fontpreview-git: 10 total files, 0 missing files
foomatic-db-engine: 60 total files, 0 missing files
fossilize-git: 18 total files, 0 missing files
fping: 10 total files, 0 missing files
frameworkintegration: 53 total files, 0 missing files
freecad: 1964 total files, 0 missing files
freeglut: 25 total files, 0 missing files
freeimage: 15 total files, 0 missing files
freetype2: 70 total files, 0 missing files
frei0r-plugins: 140 total files, 0 missing files
fribidi: 33 total files, 0 missing files
fuse-common: 2 total files, 0 missing files
fuse2: 36 total files, 0 missing files
fuse3: 27 total files, 0 missing files
fzf: 26 total files, 0 missing files
gavl: 116 total files, 0 missing files
gawk: 138 total files, 0 missing files
gc: 78 total files, 0 missing files
gcab: 142 total files, 0 missing files
gcc: 2541 total files, 0 missing files
gcc-ada: 4787 total files, 0 missing files
gcc-libs: 61 total files, 0 missing files
gcr: 520 total files, 0 missing files
gd: 37 total files, 0 missing files
gdbm: 76 total files, 0 missing files
gdk-pixbuf2: 363 total files, 0 missing files
gegl: 301 total files, 0 missing files
geoclue: 112 total files, 0 missing files
geocode-glib: 67 total files, 0 missing files
geoip: 18 total files, 0 missing files
geoip-database: 5 total files, 0 missing files
geos: 489 total files, 0 missing files
gettext: 327 total files, 0 missing files
ghostscript: 603 total files, 0 missing files
giflib: 33 total files, 0 missing files
gimp: 5864 total files, 0 missing files
girara: 80 total files, 0 missing files
git: 777 total files, 0 missing files
git-delta: 94 total files, 0 missing files
github-cli: 136 total files, 0 missing files
gjs: 29 total files, 0 missing files
gl2ps: 16 total files, 0 missing files
glances: 516 total files, 0 missing files
glew: 20 total files, 0 missing files
glib-networking: 223 total files, 0 missing files
glib2: 701 total files, 0 missing files
glibc: 1575 total files, 0 missing files
glibmm: 465 total files, 0 missing files
gloox: 160 total files, 0 missing files
glpk: 14 total files, 0 missing files
glslang: 116 total files, 0 missing files
glu: 10 total files, 0 missing files
gmp: 19 total files, 0 missing files
gnome-desktop: 579 total files, 0 missing files
gnome-keyring: 316 total files, 0 missing files
gnome-themes-extra: 3910 total files, 0 missing files
gnu-netcat: 17 total files, 0 missing files
gnupg: 210 total files, 0 missing files
gnutls: 1323 total files, 0 missing files
go: 11883 total files, 0 missing files
go-tools: 27 total files, 0 missing files
gobject-introspection-runtime: 24 total files, 0 missing files
google-earth-pro: 413 total files, 0 missing files
gperf: 12 total files, 0 missing files
gpgme: 78 total files, 0 missing files
gpm: 36 total files, 0 missing files
gptfdisk: 17 total files, 0 missing files
graphene: 85 total files, 0 missing files
graphicsmagick: 539 total files, 0 missing files
graphite: 67 total files, 0 missing files
graphviz: 449 total files, 0 missing files
grep: 143 total files, 0 missing files
groff: 629 total files, 0 missing files
gromit-mpx-git: 28 total files, 0 missing files
growpart: 12 total files, 0 missing files
gsettings-desktop-schemas: 213 total files, 0 missing files
gsfonts: 80 total files, 0 missing files
gsl: 294 total files, 0 missing files
gsm: 24 total files, 0 missing files
gspell: 226 total files, 0 missing files
gst-libav: 4 total files, 0 missing files
gst-plugin-pipewire: 8 total files, 0 missing files
gst-plugins-base: 12 total files, 0 missing files
gst-plugins-base-libs: 455 total files, 0 missing files
gstreamer: 329 total files, 0 missing files
gtest: 143 total files, 0 missing files
gtk-update-icon-cache: 14 total files, 0 missing files
gtk2: 818 total files, 0 missing files
gtk3: 989 total files, 0 missing files
gtkmm3: 576 total files, 0 missing files
gtksourceview3: 527 total files, 0 missing files
gtksourceview4: 567 total files, 0 missing files
gts: 39 total files, 0 missing files
guile: 860 total files, 0 missing files
gumbo-parser: 10 total files, 0 missing files
gvfs: 324 total files, 0 missing files
gvfs-nfs: 7 total files, 0 missing files
gvfs-smb: 15 total files, 0 missing files
gzip: 32 total files, 0 missing files
harfbuzz: 174 total files, 0 missing files
harfbuzz-icu: 14 total files, 0 missing files
hdf5: 296 total files, 0 missing files
hdparm: 16 total files, 0 missing files
hicolor-icon-theme: 371 total files, 0 missing files
hidapi: 25 total files, 0 missing files
highlight: 574 total files, 0 missing files
hplip: 2311 total files, 0 missing files
hspell: 24 total files, 0 missing files
htop-vim: 16 total files, 0 missing files
http-parser: 11 total files, 0 missing files
hunspell: 58 total files, 0 missing files
hwdata: 6 total files, 0 missing files
hwinfo: 19 total files, 0 missing files
hwloc: 563 total files, 0 missing files
hyphen: 13 total files, 0 missing files
i2c-tools: 44 total files, 0 missing files
i3-wm: 79 total files, 0 missing files
i3blocks: 12 total files, 0 missing files
i3blocks-contrib: 386 total files, 0 missing files
i3lock: 13 total files, 0 missing files
iana-etc: 11 total files, 0 missing files
ibus: 347 total files, 0 missing files
icoutils: 20 total files, 0 missing files
icu: 269 total files, 0 missing files
ijs: 22 total files, 0 missing files
imagemagick: 510 total files, 0 missing files
imath: 104 total files, 0 missing files
imlib2: 75 total files, 0 missing files
inetutils: 55 total files, 0 missing files
iniparser: 11 total files, 0 missing files
inkscape: 3607 total files, 0 missing files
inotify-tools: 64 total files, 0 missing files
intellij-idea-community-edition: 1661 total files, 0 missing files
inxi: 7 total files, 0 missing files
iotop: 37 total files, 0 missing files
ipp-usb: 26 total files, 0 missing files
iproute2: 193 total files, 0 missing files
iptables: 257 total files, 0 missing files
iputils: 59 total files, 0 missing files
iso-codes: 1444 total files, 0 missing files
it87-dkms-git: 15 total files, 0 missing files
iw: 7 total files, 0 missing files
jack2: 57 total files, 0 missing files
jackett-bin: 911 total files, 0 missing files
jansson: 15 total files, 0 missing files
jasper: 45 total files, 0 missing files
java-environment-common: 23 total files, 0 missing files
java-runtime-common: 20 total files, 0 missing files
jbig2dec: 15 total files, 0 missing files
jdk-openjdk: 431 total files, 0 missing files
jdk11-openjdk: 436 total files, 0 missing files
jdk8-openjdk: 137 total files, 0 missing files
jellyfin-mpv-shim: 213 total files, 0 missing files
jemalloc: 24 total files, 0 missing files
jfsutils: 21 total files, 0 missing files
jftui: 3 total files, 0 missing files
jira-terminal-bin: 3 total files, 0 missing files
jnettop: 9 total files, 0 missing files
jq: 23 total files, 0 missing files
jre-openjdk: 16 total files, 0 missing files
jre-openjdk-headless: 359 total files, 0 missing files
jre11-openjdk: 16 total files, 0 missing files
jre11-openjdk-headless: 399 total files, 0 missing files
jre8-openjdk: 22 total files, 0 missing files
jre8-openjdk-headless: 180 total files, 0 missing files
js78: 443 total files, 0 missing files
json-c: 33 total files, 0 missing files
json-glib: 207 total files, 0 missing files
jsoncpp: 26 total files, 0 missing files
jxrlib: 26 total files, 0 missing files
kaccounts-integration: 188 total files, 0 missing files
karchive: 55 total files, 0 missing files
kauth: 365 total files, 0 missing files
kbd: 781 total files, 0 missing files
kbookmarks: 315 total files, 0 missing files
kcmutils: 358 total files, 0 missing files
kcodecs: 338 total files, 0 missing files
kcompletion: 350 total files, 0 missing files
kconfig: 361 total files, 0 missing files
kconfigwidgets: 514 total files, 0 missing files
kcoreaddons: 502 total files, 0 missing files
kcrash: 31 total files, 0 missing files
kdbusaddons: 193 total files, 0 missing files
kdeclarative: 424 total files, 0 missing files
kdecoration: 152 total files, 0 missing files
kded: 57 total files, 0 missing files
kdenlive: 833 total files, 0 missing files
keyutils: 75 total files, 0 missing files
kfilemetadata: 225 total files, 0 missing files
kglobalaccel: 356 total files, 0 missing files
kguiaddons: 66 total files, 0 missing files
ki18n: 425 total files, 0 missing files
kiconthemes: 309 total files, 0 missing files
kio: 1546 total files, 0 missing files
kirigami2: 323 total files, 0 missing files
kitemviews: 350 total files, 0 missing files
kjobwidgets: 352 total files, 0 missing files
kmod: 46 total files, 0 missing files
knewstuff: 505 total files, 0 missing files
knotifications: 361 total files, 0 missing files
knotifyconfig: 334 total files, 0 missing files
kodi: 2921 total files, 0 missing files
